Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
Time       Line            Next Stop                                Next Stop Time
05:42      Yellow-S        Daly City                                05:46
05:54      Yellow-S        Daly City                                05:58
06:02      Yellow-S        Daly City                                06:06
06:14      Yellow-S        Daly City                                06:18
06:22      Yellow-S        Daly City                                06:26
06:34      Yellow-S        Daly City                                06:38
06:42      Yellow-S        Daly City                                06:46
06:54      Yellow-S        Daly City                                06:58
07:02      Yellow-S        Daly City                                07:06
07:14      Yellow-S        Daly City                                07:18
07:22      Yellow-S        Daly City                                07:26
07:34      Yellow-S        Daly City                                07:38
07:42      Yellow-S        Daly City                                07:46
07:54      Yellow-S        Daly City                                07:58
08:02      Yellow-S        Daly City                                08:06
08:14      Yellow-S        Daly City                                08:18
08:22      Yellow-S        Daly City                                08:26
08:34      Yellow-S        Daly City                                08:38
08:42      Yellow-S        Daly City                                08:46
08:54      Yellow-S        Daly City                                08:58
09:02      Yellow-S        Daly City                                09:06
09:14      Yellow-S        Daly City                                09:18
09:22      Yellow-S        Daly City                                09:26
09:34      Yellow-S        Daly City                                09:38
09:42      Yellow-S        Daly City                                09:46
09:54      Yellow-S        Daly City                                09:58
10:02      Yellow-S        Daly City                                10:06
10:14      Yellow-S        Daly City                                10:18
10:22      Yellow-S        Daly City                                10:26
10:34      Yellow-S        Daly City                                10:38
10:42      Yellow-S        Daly City                                10:46
10:54      Yellow-S        Daly City                                10:58
11:02      Yellow-S        Daly City                                11:06
11:14      Yellow-S        Daly City                                11:18
11:22      Yellow-S        Daly City                                11:26
11:34      Yellow-S        Daly City                                11:38
11:42      Yellow-S        Daly City                                11:46
11:54      Yellow-S        Daly City                                11:58
12:02      Yellow-S        Daly City                                12:06
12:14      Yellow-S        Daly City                                12:18
12:22      Yellow-S        Daly City                                12:26
12:34      Yellow-S        Daly City                                12:38
12:42      Yellow-S        Daly City                                12:46
12:54      Yellow-S        Daly City                                12:58
13:02      Yellow-S        Daly City                                13:06
13:14      Yellow-S        Daly City                                13:18
13:22      Yellow-S        Daly City                                13:26
